step,pos_x,pos_y,action_0,action_1
0,5.0,0.0,"(0.0, 0.0)","[np.float64(4.9456366954310785e-05), np.float64(0.0)]"
1,5.00677490234375,6.093058146916519e-08,"[np.float64(5.208359596193217e-05), np.float64(0.0)]","[np.float64(7.481782721297429e-05), np.float64(0.0)]"
2,5.006810665130615,6.857268886051315e-08,"[np.float64(1.0376755161117224e-05), np.float64(0.0)]","[np.float64(1.0855832362782647e-06), np.float64(0.0)]"
3,5.011131763458252,1.3081739780318458e-07,"[np.float64(7.526000522946318e-05), np.float64(0.2)]","[np.float64(6.605464702630886e-05), np.float64(0.30000000000000004)]"
4,5.8729753494262695,1.245138355443487e-05,"[np.float64(2.463562193044666e-07), np.float64(1.0)]","[np.float64(2.606931373885051e-05), np.float64(0.8)]"
5,8.476081848144531,0.0001088343997253105,"[np.float64(4.7223093527657e-05), np.float64(0.0)]","[np.float64(2.3746738242312004e-05), np.float64(0.0)]"
6,10.872063636779785,0.00030463942675851285,"[np.float64(5.7860158389949544e-05), np.float64(0.0)]","[np.float64(3.917460871056867e-05), np.float64(0.0)]"
7,12.904409408569336,0.0005281521589495242,"[np.float64(1.3724057658821432e-05), np.float64(0.0)]","[np.float64(8.226523141084823e-05), np.float64(0.0)]"
8,14.573119163513184,0.0007468559197150171,"[np.float64(4.5847459029202456e-05), np.float64(0.0)]","[np.float64(7.591427225583871e-05), np.float64(0.0)]"
9,15.878192901611328,0.0009504388435743749,"[np.float64(3.966604893745227e-05), np.float64(0.0)]","[np.float64(9.976400532384057e-05), np.float64(0.0)]"
10,16.819631576538086,0.0011128728510811925,"[np.float64(3.684638073882338e-05), np.float64(0.0)]","[np.float64(1.397603199597075e-06), np.float64(0.0)]"
11,17.39743423461914,0.0012133738491684198,"[np.float64(1.4757759026227212e-05), np.float64(0.0)]","[np.float64(8.95909208598474e-05), np.float64(0.0)]"
12,17.611600875854492,0.0012500315206125379,"[np.float64(9.023243189473064e-05), np.float64(0.0)]","[np.float64(7.504757639162577e-05), np.float64(0.0)]"
13,17.61199951171875,0.0012501144083216786,"[np.float64(4.53644714987835e-05), np.float64(0.0)]","[np.float64(1.7497162322714222e-05), np.float64(0.0)]"
14,17.611427307128906,0.0012500081211328506,"[np.float64(4.317740568720326e-05), np.float64(0.0)]","[np.float64(8.341968498891598e-05), np.float64(0.0)]"
15,17.610855102539062,0.0012499252334237099,"[np.float64(1.2575096220613958e-05), np.float64(0.0)]","[np.float64(8.382375225209724e-05), np.float64(0.0)]"
16,17.61028289794922,0.001249827560968697,"[np.float64(1.9634843558967252e-05), np.float64(0.0)]","[np.float64(8.112928963250463e-05), np.float64(0.0)]"
17,17.609710693359375,0.0012497283751145005,"[np.float64(9.713968419689014e-05), np.float64(0.0)]","[np.float64(4.4072893626691065e-05), np.float64(0.0)]"
18,17.60913848876953,0.0012495927512645721,"[np.float64(9.013303853847843e-06), np.float64(0.0)]","[np.float64(8.062053868609215e-05), np.float64(0.0)]"
19,17.608566284179688,0.0012495099799707532,"[np.float64(3.8015193799327065e-05), np.float64(0.0)]","[np.float64(4.906879305810018e-05), np.float64(0.0)]"
20,17.607994079589844,0.0012494254624471068,"[np.float64(1.690836235083817e-05), np.float64(0.0)]","[np.float64(9.219065382286027e-05), np.float64(0.0)]"
21,17.607421875,0.0012493164977058768,"[np.float64(5.9622375673079185e-05), np.float64(0.0)]","[np.float64(6.328579038456119e-05), np.float64(0.0)]"
22,17.606849670410156,0.0012492254609242082,"[np.float64(4.499077259509663e-05), np.float64(0.0)]","[np.float64(2.2315348950164517e-06), np.float64(0.0)]"
23,17.606277465820312,0.0012491062516346574,"[np.float64(8.02108555797771e-05), np.float64(0.0)]","[np.float64(3.0287996241675774e-05), np.float64(0.0)]"
24,17.60570526123047,0.0012490003136917949,"[np.float64(9.652825107453636e-05), np.float64(0.0)]","[np.float64(6.64801255507813e-05), np.float64(0.0)]"
25,17.605133056640625,0.0012489116052165627,"[np.float64(7.221445273941715e-05), np.float64(0.0)]","[np.float64(2.4464015769555337e-05), np.float64(0.0)]"
26,17.60456085205078,0.0012487838976085186,"[np.float64(1.3501019225216193e-05), np.float64(0.0)]","[np.float64(7.211291183972723e-06), np.float64(0.0)]"
27,17.603988647460938,0.0012486830819398165,"[np.float64(7.71582955651981e-05), np.float64(0.0)]","[np.float64(3.33678231702205e-05), np.float64(0.0)]"
28,17.603416442871094,0.0012485500192269683,"[np.float64(7.381946363236322e-05), np.float64(0.0)]","[np.float64(3.375803565198854e-05), np.float64(0.0)]"
29,17.60284423828125,0.0012484696926549077,"[np.float64(6.971068575040704e-05), np.float64(0.0)]","[np.float64(8.272381499311355e-05), np.float64(0.0)]"
30,17.602272033691406,0.0012483285972848535,"[np.float64(8.191593652130955e-05), np.float64(0.0)]","[np.float64(9.85301878774615e-05), np.float64(0.0)]"
31,17.601699829101562,0.0012482338352128863,"[np.float64(3.214133137122951e-05), np.float64(0.0)]","[np.float64(6.035627118616715e-06), np.float64(0.0)]"
32,17.60112762451172,0.0012481040321290493,"[np.float64(3.7687276569350524e-05), np.float64(0.0)]","[np.float64(8.279957207802428e-05), np.float64(0.0)]"
33,17.600555419921875,0.0012480115983635187,"[np.float64(1.6940656150868784e-05), np.float64(0.0)]","[np.float64(9.28186313006932e-05), np.float64(0.0)]"
34,17.59998321533203,0.001247906475327909,"[np.float64(2.455805516281213e-05), np.float64(0.0)]","[np.float64(5.898829717089801e-05), np.float64(0.0)]"
35,17.599411010742188,0.0012478219578042626,"[np.float64(2.2999251509746055e-05), np.float64(0.0)]","[np.float64(6.023732971916789e-05), np.float64(0.0)]"
36,17.598838806152344,0.0012477163691073656,"[np.float64(6.723579431781019e-05), np.float64(0.0)]","[np.float64(5.5228523819486885e-05), np.float64(0.0)]"
37,17.5982666015625,0.0012475865660235286,"[np.float64(6.768598653547824e-05), np.float64(0.0)]","[np.float64(9.750222575998832e-05), np.float64(0.0)]"
38,17.597694396972656,0.0012475011171773076,"[np.float64(8.71624449552038e-05), np.float64(0.0)]","[np.float64(4.689134148091836e-05), np.float64(0.0)]"
39,17.597122192382812,0.0012473724782466888,"[np.float64(1.0756652865715855e-05), np.float64(0.0)]","[np.float64(4.349338607368346e-05), np.float64(0.0)]"
40,17.59654998779297,0.0012472749222069979,"[np.float64(8.905459443485005e-05), np.float64(0.0)]","[np.float64(6.588926882584023e-05), np.float64(0.0)]"
41,17.595977783203125,0.0012471572263166308,"[np.float64(4.077680162306688e-05), np.float64(0.0)]","[np.float64(5.139661578226289e-05), np.float64(0.0)]"
42,17.59540557861328,0.0012470673536881804,"[np.float64(6.522771726136694e-05), np.float64(0.0)]","[np.float64(6.622397415543368e-06), np.float64(0.0)]"
43,17.594833374023438,0.0012469590874388814,"[np.float64(1.851370621677263e-05), np.float64(0.0)]","[np.float64(1.789978396445515e-05), np.float64(0.0)]"
44,17.594261169433594,0.001246862462721765,"[np.float64(4.359357683036983e-05), np.float64(0.0)]","[np.float64(3.045503627270306e-05), np.float64(0.0)]"
45,17.59368896484375,0.001246748841367662,"[np.float64(5.941414988359057e-05), np.float64(0.0)]","[np.float64(3.2244780398419306e-05), np.float64(0.0)]"
46,17.593116760253906,0.0012466296320781112,"[np.float64(9.899767024216053e-05), np.float64(0.0)]","[np.float64(7.072274540075568e-05), np.float64(0.0)]"
47,17.592544555664062,0.0012465134495869279,"[np.float64(8.568843441185204e-05), np.float64(0.0)]","[np.float64(6.982977608377247e-05), np.float64(0.0)]"
48,17.59197235107422,0.0012463897000998259,"[np.float64(4.7025882743710456e-05), np.float64(0.0)]","[np.float64(4.655390432547525e-05), np.float64(0.0)]"
49,17.591400146484375,0.0012462841114029288,"[np.float64(1.7181349996869155e-06), np.float64(0.0)]","[np.float64(1.8656950698763608e-06), np.float64(0.0)]"
50,17.59082794189453,0.00124616757966578,"[np.float64(4.7121262080566896e-05), np.float64(0.0)]","[np.float64(4.548800209456439e-06), np.float64(0.0)]"
