step,pos_x,pos_y,action_0,action_1
0,5.0,0.0,0.22013225106459522,1.0
1,6.1717071533203125,-0.12375224381685257,0.37718106914145505,1.0
2,7.193963050842285,-0.11638982594013214,-0.33742888433091034,1.0
3,8.798125267028809,-0.08778557926416397,-0.2081532698958659,1.0
4,12.264727592468262,-0.28231436014175415,0.09854748,-0.23795523
5,16.491634368896484,-0.13567253947257996,0.26996960394523295,1.0
6,22.587045669555664,0.582261323928833,0.05283440928078259,0.5550448133220945
7,29.007963180541992,1.515764594078064,-0.09407523925200484,0.7392677488051745
8,35.171043395996094,1.282386064529419,-0.36761705355312696,0.545089833598323
9,41.174434661865234,-0.1332535743713379,0.16972533511722637,0.24322173227522306
