step,pos_x,pos_y,action_0,action_1
0,5.0,0.0,"(0.0, 0.0)","[np.float64(3.93762029585013e-06), np.float64(0.0)]"
1,5.006772518157959,5.3132573896164104e-08,"[np.float64(7.947118227275224e-05), np.float64(0.0)]","[np.float64(8.992841169148041e-05), np.float64(0.0)]"
2,5.006760597229004,6.008166764104317e-08,"[np.float64(9.34930999873658e-05), np.float64(0.0)]","[np.float64(5.076887222675941e-06), np.float64(0.0)]"
3,5.006748676300049,5.782244372198875e-08,"[np.float64(3.779480864587962e-05), np.float64(0.0)]","[np.float64(7.266510872325766e-05), np.float64(0.0)]"
4,5.006736755371094,8.149844887839208e-08,"[np.float64(8.363723153820411e-05), np.float64(0.0)]","[np.float64(6.259200877822175e-05), np.float64(0.0)]"
5,5.006724834442139,6.727062640266013e-08,"[np.float64(8.764871941347563e-07), np.float64(0.0)]","[np.float64(5.015778898262201e-05), np.float64(0.0)]"
6,5.006712913513184,8.091453196357179e-08,"[np.float64(1.082335532382206e-06), np.float64(0.0)]","[np.float64(8.803679363249088e-05), np.float64(0.0)]"
7,5.0067009925842285,8.029880405047152e-08,"[np.float64(5.433233324007943e-05), np.float64(0.0)]","[np.float64(5.2191121788120755e-05), np.float64(0.0)]"
8,5.006689071655273,4.989606949834524e-08,"[np.float64(7.524855625651667e-05), np.float64(0.0)]","[np.float64(2.6752342137346585e-05), np.float64(0.0)]"
9,5.006677150726318,3.133554216105949e-08,"[np.float64(7.9768858659764e-05), np.float64(0.0)]","[np.float64(3.4137132248705695e-05), np.float64(0.0)]"
10,5.006665229797363,8.94235974158164e-09,"[np.float64(5.9589981819821504e-05), np.float64(0.0)]","[np.float64(6.547036930417e-05), np.float64(0.0)]"
11,5.006653308868408,1.8121056655218126e-08,"[np.float64(3.800074685348984e-05), np.float64(0.0)]","[np.float64(3.3986004452024466e-05), np.float64(0.0)]"
12,5.006641387939453,1.0929456450980979e-08,"[np.float64(2.1649283753355508e-05), np.float64(0.0)]","[np.float64(2.763643152682516e-07), np.float64(0.0)]"
13,5.006629467010498,1.0686274976023924e-08,"[np.float64(5.145051769100053e-05), np.float64(0.0)]","[np.float64(9.446883006103791e-05), np.float64(0.0)]"
14,5.006617546081543,4.2806497901892726e-08,"[np.float64(5.366810775788488e-06), np.float64(0.0)]","[np.float64(8.469469749823078e-06), np.float64(0.0)]"
15,5.006605625152588,4.672496345392574e-08,"[np.float64(2.8558189638993758e-05), np.float64(0.0)]","[np.float64(4.1097708158320934e-05), np.float64(0.0)]"
16,5.006593704223633,7.036659610548668e-08,"[np.float64(8.472722977706003e-05), np.float64(0.0)]","[np.float64(5.1821139535238504e-05), np.float64(0.0)]"
17,5.006581783294678,5.235217059862407e-08,"[np.float64(8.81237649577095e-05), np.float64(0.0)]","[np.float64(1.3336559186845742e-05), np.float64(0.0)]"
18,5.006569862365723,3.552441896204073e-08,"[np.float64(7.299488769364327e-05), np.float64(0.0)]","[np.float64(9.840616369326826e-05), np.float64(0.0)]"
19,5.006557941436768,3.525068237308915e-08,"[np.float64(7.769734092930135e-05), np.float64(0.0)]","[np.float64(5.901592641228831e-05), np.float64(0.0)]"
20,5.0065460205078125,3.630224298944995e-08,"[np.float64(9.375892685762549e-05), np.float64(0.0)]","[np.float64(4.6964139977851324e-05), np.float64(0.0)]"
21,5.006534099578857,1.6000569758034544e-08,"[np.float64(9.876651139092964e-05), np.float64(0.0)]","[np.float64(4.093847922138577e-05), np.float64(0.0)]"
22,5.006522178649902,2.6419987975145887e-08,"[np.float64(3.444963905138634e-05), np.float64(0.0)]","[np.float64(7.754421450022791e-05), np.float64(0.0)]"
23,5.006510257720947,3.159112083039872e-08,"[np.float64(4.3456173519194664e-05), np.float64(0.0)]","[np.float64(5.2314924528366645e-05), np.float64(0.0)]"
24,5.006498336791992,7.770096033254958e-08,"[np.float64(2.251130954356465e-05), np.float64(0.0)]","[np.float64(4.4090398066544665e-05), np.float64(0.0)]"
